fdc_id,description,food_category_id
320058,"Milk, 2%",1
320059,"Milk, 2%",1
320060,"MILK, 2% (WAVE 22E)",1
320061,"MILK, 2% (WAVE 22E)",1
320062,"MILK, 2% (WAVE 22E)",1
320063,"MILK, 2% (WAVE 22E)",1
320064,"MILK, 2% ",1
320065,"MILK, 2% ",1
320066,"MILK, 2% ",1
320067,"MILK, 2% ",1
320068,"MILK, 2% ",1
320069,"MILK, 2% ",1
320070,"MILK, 2% ",1
320071,"MILK, 2% ",1
320072,"MILK, 2% ",1
320073,"MILK, 2% ",1
320074,"MILK, 2% ",1
320075,"MILK, 2% ",1
320076,"MILK, 2% ",1
320077,"Milk, 2%",1
320078,"Milk, 2%",1
320079,"Milk, 2%",1
320080,"Milk, 2%",1
320081,"Milk, 2%",1
320082,"Milk, 2%",1
320083,"MILK, 2% (WAVE 22E)",1
320084,"MILK, 2% (WAVE 22E)",1
320085,"MILK, 2% (WAVE 22E)",1
320086,"MILK, 2% (WAVE 22E)",1
320087,"MILK, 2% ",1
320088,"MILK, 2% ",1
320089,"MILK, 2% ",1
320090,"MILK, 2% ",1
320091,"MILK, 2% ",1
320092,"MILK, 2% ",1
320093,"MILK, 2% ",1
320094,"MILK, 2% ",1
320095,"MILK, 2% ",1
320096,"MILK, 2% ",1
320097,"Milk, 2%",1
320098,"Milk, 2%",1
320099,"Milk, 2%",1
320100,"Milk, 2%",1
320101,"Milk, 2%",1
320102,"MILK, 2% (WAVE 22E)",1
320103,"MILK, 2% (WAVE 22E)",1
320104,"MILK, 2% (WAVE 22E)",1
320105,"MILK, 2% (WAVE 22E)",1
320106,"MILK, 2% ",1
320107,"MILK, 2% ",1
320108,"MILK, 2% ",1
320109,"MILK, 2% ",1
320110,"MILK, 2% ",1
320111,"MILK, 2% ",1
320112,"MILK, 2% ",1
320113,"MILK, 2% ",1
320114,"MILK, 2% ",1
320115,"MILK, 2% ",1
320116,"Milk, 2%",1
320117,"Milk, 2%",1
320118,"Milk, 2%",1
320119,"Milk, 2%",1
320120,"Milk, 2%",1
320121,"Milk, 2%",1
320122,"MILK, 2% (WAVE 22E)",1
320123,"MILK, 2% (WAVE 22E)",1
320124,"MILK, 2% (WAVE 22E)",1
320125,"MILK, 2% (WAVE 22E)",1
320126,"MILK, 2% ",1
320127,"MILK, 2% ",1
320128,"MILK, 2% ",1
320129,"MILK, 2% ",1
320130,"MILK, 2% ",1
320131,"MILK, 2% ",1
320132,"MILK, 2% ",1
320133,"MILK, 2% ",1
320134,"MILK, 2% ",1
320135,"MILK, 2% ",1
320136,"Milk, 2%",1
320137,"Milk, 2%",1
320138,"Milk, 2%",1
320139,"Milk, 2%",1
320140,"Milk, 2%",1
320141,"MILK, 2% (WAVE 22E)",1
320142,"MILK, 2% (WAVE 22E)",1
320143,"MILK, 2% (WAVE 22E)",1
320144,"MILK, 2% (WAVE 22E)",1
320145,"MILK, 2% ",1
320146,"MILK, 2% ",1
320147,"MILK, 2% ",1
320148,"MILK, 2% ",1
320149,"MILK, 2% ",1
320150,"MILK, 2% ",1
320151,"MILK, 2% ",1
320152,"MILK, 2% ",1
320153,"MILK, 2% ",1
320154,"MILK, 2% ",1
320155,"MILK, 2% ",1
320156,"MILK, 2% ",1
320157,"MILK, 2% ",1
320158,"Milk, 2%",1
320159,"Milk, 2%",1
320160,"Milk, 2%",1
320161,"Milk, 2%",1
320162,"Milk, 2%",1
320163,"MILK, 2% (WAVE 22E)",1
320164,"MILK, 2% (WAVE 22E)",1
320165,"MILK, 2% (WAVE 22E)",1
320166,"MILK, 2% (WAVE 22E)",1
320167,"MILK, 2% ",1
320168,"MILK, 2% ",1
320169,"MILK, 2% ",1
320170,"MILK, 2% ",1
320171,"MILK, 2% (WAVE 22E)",1
320172,"MILK, 2% (WAVE 22E)",1
320173,"MILK, 2% (WAVE 22E)",1
320174,"MILK, 2% ",1
320175,"MILK, 2% ",1
320176,"MILK, 2% ",1
320177,"MILK, 2% (WAVE 22E)",1
320178,"MILK, 2% (WAVE 22E)",1
320179,"MILK, 2% (WAVE 22E)",1
320180,"MILK, 2% (WAVE 22E)",1
320181,"MILK, 2% ",1
320182,"MILK, 2% ",1
320183,"MILK, 2% ",1
320184,"MILK, 2% (WAVE 22E)",1
320185,"MILK, 2% (WAVE 22E)",1
320186,"MILK, 2% (WAVE 22E)",1
320187,"MILK, 2% ",1
320188,"MILK, 2% ",1
320189,"MILK, 2% ",1
320190,"MILK, 2% (WAVE 22E)",1
320191,"MILK, 2% (WAVE 22E)",1
320192,"MILK, 2% (WAVE 22E)",1
